SurveyArea,LGA,BushlandOrUrban,Methodology,Date,Time,TransectID,Year,SurveyNumber,SiteNumber,SiteName,Transect,SightingNumber,Distance_m,Bearing,AgeStatus,NumberOfAdults,NumberOfSubadults,NumberOfJuveniles,Sex,Disease,Waypoint,Eastings,Northings,TreeSpecies,HeightOfKoalaInTree_m,HeightOfTree_m,DBH_cm,CrownSize_m,CrownDensity_percentage,OldTransectNumber
Koala Coast,Logan City,Bushland,Strip-transect,18/11/2010,12:55:00,201000111,2010,20,1,Daisy Hill ,11,1,N/A,N/A,A*,1,0,0,F,N,D1 W609,514876,6945396,E. carnea,12,15,25.9,6,45,11
Koala Coast,Logan City,Bushland,Strip-transect,18/11/2010,17:00:00,201000113,2010,20,1,Daisy Hill ,13,1,N/A,N/A,A,1,0,0,M,N,D1 W610,515153,6945857,E. microcorys,22,24,70.7,12,60,13
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,10:20:00,201000201,2010,20,2,Point Halloran,1,1,N/A,N/A,A,1,0,0,F,C,D2 W092,529510,6950407,Alphitonia excelsa,9,14,41.1,10,60,1
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,13:05:00,201000204,2010,20,2,Point Halloran,4,1,N/A,N/A,A*,1,0,0,F,N,D2 W093,529297,6950453,Malaleuca quinquenervia,9,12,17.4,4,65,4
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,13:05:00,201000204,2010,20,2,Point Halloran,4,2,N/A,N/A,J*,0,0,1,F,N,D2 W093,529297,6950453,Malaleuca quinquenervia,8,12,17.4,4,65,4
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,15:10:00,201000205,2010,20,2,Point Halloran,5,1,N/A,N/A,A,1,0,0,F,C,D2 W094,529235,6950699,E. tereticornis,12,16,41.8,11,55,5
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,15:35:00,201000206,2010,20,2,Point Halloran,6,1,N/A,N/A,A,1,0,0,F,T,D2 W095,529130,6950526,E. tereticornis,14,18,62.5,12,55,6
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,16:10:00,201000207,2010,20,2,Point Halloran,7,1,N/A,N/A,A,1,0,0,F,T,D2 W096,529072,6950491,Malaleuca quinquenervia,13,14,33.8,4,70,7
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,16:35:00,201000208,2010,20,2,Point Halloran,8,1,N/A,N/A,A,1,0,0,F,N,D2 W097,528920,6950438,E. tereticornis,14,18,60.5,12,65,8
Koala Coast,Redland City,Bushland,Strip-transect,13/12/2010,16:45:00,201000208,2010,20,2,Point Halloran,8,2,N/A,N/A,A,1,0,0,M,N,D2 W098,528920,6950342,E. siderophloia,9,10,16,3,70,8
Koala Coast,Redland City,Bushland,Strip-transect,19/10/2010,10:50:00,201000302,2010,20,3,Gravel Reserve,2,1,N/A,N/A,A,1,0,0,M,N,D1 W539,521615,6953730,E. microcorys,18,22,16.3,13,65,2
Koala Coast,Redland City,Bushland,Strip-transect,19/10/2010,16:03:00,201000313,2010,20,3,Gravel Reserve,13,2,N/A,N/A,A,1,0,0,M,N,D1 W540,520935,6954086,E. microcorys,14,18,47.7,11,65,13
Koala Coast,Redland City,Bushland,Strip-transect,9/12/2010,10:45:00,201000401,2010,20,4,McDonald McMillan,1,1,N/A,N/A,A,1,0,0,M,C,D2 W663,523085,6955377,E. racemosa,8,15,64.3,13,60,1
Koala Coast,Redland City,Bushland,Strip-transect,9/12/2010,11:13:00,201000402,2010,20,4,McDonald McMillan,2,1,N/A,N/A,A,1,0,0,M,N,D2 W664,522974,6955390,E. racemosa,14,17,50.9,16,60,2
Koala Coast,Brisbane City,Bushland,Strip-transect,9/11/2010,12:50:00,201000510,2010,20,5,JC Trotter,10,1,N/A,N/A,J*,0,0,1,F,N,D2 W042,517008,6952087,E. racemosa,7,9,19.7,5,45,10
Koala Coast,Brisbane City,Bushland,Strip-transect,10/11/2010,13:05:00,201000510,2010,20,5,JC Trotter,10,2,N/A,N/A,A,1,0,0,F,N,D2 W043,516927,6952103,E. racemosa,14,17,39.1,7,45,10
Koala Coast,Brisbane City,Bushland,Strip-transect,11/11/2010,17:00:00,201000516,2010,20,5,JC Trotter,16,1,N/A,N/A,A,1,0,0,M,N,D2 W044,517044,6951757,E. racemosa,9,13,26.6,7,35,16
Koala Coast,Redland City,Bushland,Strip-transect,19/11/2010,16:40:00,201000608,2010,20,6,Warren Street,8,1,N/A,N/A,A,1,0,0,F,C,D2 W1065,524474,6947606,E. racemosa,13,20,58,10,60,8
Koala Coast,Redland City,Bushland,Strip-transect,23/11/2010,13:45:00,201000706,2010,20,7,Kindilan,6,1,N/A,N/A,A,1,0,0,F,T/O,D2 W066,527086,6942947,C. trachyphloia,4,5,9.1,3,40,6
Koala Coast,Redland City,Bushland,Strip-transect,16/12/2010,12:15:00,201000804,2010,20,8,Karingal,4,1,N/A,N/A,A,1,0,0,M,C,D1 W689,521170,6946616,E. siderophloia,18,27,64,15,65,4
Koala Coast,Redland City,Bushland,Strip-transect,2/12/2010,13:55:00,201000907,2010,20,9,Venman National Park,7,1,N/A,N/A,A,1,0,0,M,N,D2 W83,519767,6943323,Allocasuarina littoralis,4,8,13.8,3,5,7
Koala Coast,Redland City,Bushland,Strip-transect,2/12/2010,14:40:00,201000908,2010,20,9,Venman National Park,8,1,N/A,N/A,A,1,0,0,F,N,D1 W652,520510,6942951,E. seeana,7,13,26.4/15.2,6,60,8
Koala Coast,Redland City,Bushland,Strip-transect,17/12/2010,13:30:00,201000909,2010,20,9,Venman National Park,9,1,N/A,N/A,A,1,0,0,F,N,D2 W110,520014,6942972,Acacia sp.,7,8,7.8,2,65,9
Koala Coast,Redland City,Bushland,Strip-transect,17/12/2010,14:10:00,201000909,2010,20,9,Venman National Park,9,2,N/A,N/A,A,1,0,0,F,N,D2 W111,519614,6943059,Allocasuarina littoralis,7,8,21.5,7,30,9
